Reino,Especie,Nome_Comum,Grupo,Mes_Ano_Avaliacao,Endemica_Brasil,Consta_em_Lista_Nacional_Oficial,Bioma,Bacia_Hidrografica
Animalia,Arrhopalites paranaensis,Não Consta,Invertebrados Terrestres,05/2018,Sim,Sim,Mata Atlântica,Sub-bacia Litoral RJ Sub-bacia Litoral RJ SP Sub-bacia Litoral SP
Animalia,Anabazenops dorsalis,barranqueiro-de-topete,Aves,08/2018,Não,Sim,Amazônia,Sub-bacia Madeira Sub-bacia Purus Sub-bacia Tapajós
Animalia,Arremonops conirostris,tico-tico-cantor,Aves,08/2018,Não,Sim,Amazônia,Sub-bacia Negro
Animalia,Aegla charon,Não Consta,Invertebrados de Água Doce,05/2018,Sim,Sim,Mata Atlântica,Sub-bacia Paranapanema
Animalia,Adelophryne maranguapensis,Rãnzinha-pulga,Anfíbios,09/2018,Sim,Sim,Caatinga,Sub-bacia Litoral CE PI
Animalia,Archisotoma arariboia,Colêmbolo' Pulga-de-jardim,Invertebrados Terrestres,05/2018,Sim,Sim,Não Consta,Sub-bacia Litoral RJ
Animalia,Arrhopalites glabrofasciatus,Não Consta,Invertebrados Terrestres,05/2018,Sim,Sim,Cerrado' Mata Atlântica,Sub-bacia Doce Sub-bacia São Francisco Alto
Animalia,Archisotoma catiae,Colêmbolo' Pulga-de-jardim,Invertebrados Terrestres,05/2018,Sim,Sim,Não Consta,Não Consta
Animalia,Aethiopella littoralis,Colêmbolo' Pulga-de-jardim,Invertebrados Terrestres,05/2018,Sim,Sim,Mata Atlântica,Sub-bacia Litoral RJ
Animalia,Agraphorura mariapetrae,Colêmbolo' Pulga-de-jardim,Invertebrados Terrestres,05/2018,Não,Sim,Não Consta,Sub-bacia Litoral RJ
Animalia,Arlea arenicola,Colêmbolo' Pulga-de-jardim,Invertebrados Terrestres,05/2018,Sim,Sim,Não Consta,Não Consta
Animalia,Arlesia intermedia,Colêmbolo' Pulga-de-jardim,Invertebrados Terrestres,05/2018,Sim,Sim,Não Consta,Sub-bacia Litoral RJ
Animalia,Arlea psammophila,Colêmbolo' Pulga-de-jardim,Invertebrados Terrestres,05/2018,Sim,Sim,Não Consta,Não Consta
Animalia,Ariadna aurea,Não Consta,Invertebrados Terrestres,05/2018,Sim,Sim,Caatinga,Sub-bacia São Francisco Médio
Animalia,Anomaloglossus apiau,Não Consta,Anfíbios,06/2017,Sim,Sim,Amazônia,Sub-bacia Negro
Animalia,Anomaloglossus tepequem,Não Consta,Anfíbios,06/2017,Sim,Sim,Amazônia,Sub-bacia Negro
Animalia,Ancistrus minutus,Não Consta,Peixes Continentais,11/2018,Sim,Sim,Cerrado,Sub-bacia Tocantins Alto
Animalia,Akodon mystax,Caparaó Grass Mouse' Rato-do-chão do Caparaó,Mamíferos,06/2013,Sim,Não,Não Consta,Não Consta
Animalia,Aegla renana,Egla,Invertebrados Marinhos,09/2010,Sim,Não,Mata Atlântica,Não Consta
Animalia,Aegla brevipalma,Egla,Invertebrados de Água Doce,10/2019,Sim,Sim,Mata Atlântica,Sub-bacia Uruguai Alto
Animalia,Aegla camargoi,Egla,Invertebrados de Água Doce,10/2019,Sim,Sim,Mata Atlântica,Sub-bacia Guaíba Sub-bacia Litoral SP PR SC Sub-bacia Uruguai Alto
Animalia,Aegla franca,Egla,Invertebrados Marinhos,09/2013,Sim,Não,Não Consta,Não Consta
Animalia,Aegla inconspicua,Egla,Invertebrados de Água Doce,10/2019,Sim,Sim,Mata Atlântica' Pampa,Sub-bacia Guaíba
Animalia,Aegla inermis,Egla,Invertebrados de Água Doce,10/2019,Sim,Sim,Mata Atlântica,Sub-bacia Guaíba Sub-bacia Litoral RS
Animalia,Aegla itacolomiensis,Egla,Invertebrados de Água Doce,10/2019,Sim,Sim,Mata Atlântica' Pampa,Sub-bacia Guaíba
Animalia,Aegla leachi,Egla,Invertebrados de Água Doce,10/2019,Sim,Sim,Mata Atlântica,Sub-bacia Uruguai Alto
Animalia,Aegla leptodactyla,Egla,Invertebrados Marinhos,09/2013,Sim,Não,Mata Atlântica,Não Consta
Animalia,Aegla manuinflata,Egla,Invertebrados de Água Doce,10/2019,Sim,Sim,Mata Atlântica' Pampa,Sub-bacia Ibicuí
Animalia,Aegla oblata,Egla,Invertebrados de Água Doce,10/2019,Sim,Sim,Mata Atlântica,Sub-bacia Uruguai Alto
Animalia,Aegla obstipa,Egla,Invertebrados de Água Doce,10/2019,Sim,Sim,Pampa,Sub-bacia Guaíba Sub-bacia Litoral RS
Animalia,Aegla perobae,Egla,Invertebrados Marinhos,09/2010,Sim,Não,Não Consta,Não Consta
Animalia,Aegla violacea,Egla,Invertebrados de Água Doce,10/2019,Sim,Sim,Pampa,Sub-bacia Guaíba
Animalia,Aburria jacutinga,jacutinga,Aves,06/2019,Não,Sim,Cerrado' Mata Atlântica' Sistema Costeiro-Marinho,Sub-bacia Doce Sub-bacia Grande Sub-bacia Iguaçu Sub-bacia Litoral RJ Sub-bacia Litoral RJ SP Sub-bacia Litoral SP Sub-bacia Litoral SP PR SC Sub-bacia Paraíba do Sul Sub-bacia Paranapanema Sub-bacia Paraná RH1 Sub-bacia Tietê Sub-bacia Uruguai Médio
Animalia,Acrobatornis fonsecai,acrobata,Aves,06/2019,Sim,Sim,Mata Atlântica,Sub-bacia Contas Sub-bacia Jequitinhonha
Animalia,Amadonastur lacernulatus,gavião-pombo-pequeno,Aves,06/2019,Sim,Sim,Caatinga' Cerrado' Mata Atlântica,Sub-bacia Contas Sub-bacia Doce Sub-bacia Grande Sub-bacia Iguaçu Sub-bacia Jequitinhonha Sub-bacia Litoral BA ES Sub-bacia Litoral ES Sub-bacia Litoral RJ Sub-bacia Litoral RJ SP Sub-bacia Litoral SP Sub-bacia Litoral SP PR SC Sub-bacia Paraíba do Sul Sub-bacia Paranapanema Sub-bacia São Francisco Alto Sub-bacia Tietê
Animalia,Amazona pretrei,papagaio-charão,Aves,10/2021,Não,Sim,Mata Atlântica' Pampa,Sub-bacia Guaíba Sub-bacia Ibicuí Sub-bacia Litoral RS Sub-bacia Litoral SP PR SC Sub-bacia Uruguai Alto Sub-bacia Uruguai Médio
Animalia,Amazona rhodocorytha,chauá,Aves,10/2021,Sim,Sim,Mata Atlântica,Sub-bacia Contas Sub-bacia Doce Sub-bacia Itapecuru-Paraguaçu Sub-bacia Jequitinhonha Sub-bacia Litoral AL PE PB Sub-bacia Litoral BA ES Sub-bacia Litoral ES Sub-bacia Litoral RJ Sub-bacia Litoral SE Sub-bacia Paraíba do Sul
Animalia,Amazona vinacea,papagaio-de-peito-roxo,Aves,10/2021,Não,Sim,Caatinga' Cerrado' Mata Atlântica' Pampa,Sub-bacia Doce Sub-bacia Grande Sub-bacia Guaíba Sub-bacia Iguaçu Sub-bacia Itapecuru-Paraguaçu Sub-bacia Jequitinhonha Sub-bacia Litoral BA ES Sub-bacia Litoral ES Sub-bacia Litoral RJ SP Sub-bacia Litoral RS Sub-bacia Litoral SP PR SC Sub-bacia Paraíba do Sul Sub-bacia Paranaíba Sub-bacia Paranapanema Sub-bacia Paraná RH1 Sub-bacia São Francisco Alto Sub-bacia Tietê Sub-bacia Uruguai Alto Sub-bacia Uruguai Médio
Animalia,Anodorhynchus glaucus,arara-azul-pequena,Aves,06/2019,Não,Não,Mata Atlântica' Pampa,Sub-bacia Guaíba Sub-bacia Litoral SP PR SC
Animalia,Amazona rhodocorytha,anumará,Aves,06/2019,Sim,Sim,Caatinga' Cerrado' Mata Atlântica,Sub-bacia Doce Sub-bacia Litoral AL PE PB Sub-bacia Litoral ES
Animalia,Amazona vinacea,Peixe-anual,Peixes Continentais,10/2011,Sim,Não,Caatinga,Sub-bacia Litoral CE PI
